year, phonebook, name, address, phone_number, lat, lon
1979-1980,yellow,McDonald Restaurant,262 Canal,431-4165,40.718528,-74.001145
1979-1980,yellow,Mc Donalds,3549 Bway,281-1800,40.826848,-73.950671
1979-1980,yellow,Mc Donald’s,102 1 Av,475-6424,40.726453,-73.985845
1979-1980,yellow,McDonald’s,427 10 Av,244-8206,40.754529,-74.000106
1979-1980,yellow,McDonalds,3549 Bway,283-9584,40.826848,-73.950671
1979-1980,yellow,McDonald’s,4259 Bway,923-9506,40.850096,-73.93624
1979-1980,yellow,McDonald’s,444 Lenox Av,281-2888,40.812367,-73.941621
1979-1980,yellow,McDonald’s,39 Union Sq W,675-3780,40.737061,-73.990742
1979-1980,yellow,Mc Donald’s,215 W 125,865-6323,40.809708,-73.948933
1979-1980,yellow,McDonalds Hamburgers,1327 2 Av,535-2205,40.767359,-73.959756
1979-1980,yellow,Mc Donald’s Hamburgers,1327 2 Av,650-1401,40.767359,-73.959756
1979-1980,yellow,Mcdonalds Hamburgers,1327 2 Av,861-8095,40.767359,-73.959756
1979-1980,yellow,McDonald’s of Greenwich Village,136 W 3,674-3566,40.730737,-74.001112
1979-1980,yellow,Mcdonald’s Restrnt,102 1 Av,475-9538,40.726453,-73.985845
1979-1980,yellow,McDonald’s Restrnt,427 10 Av,564-7115,40.754529,-74.000106
1979-1980,yellow,McDonald’s Restrnt,480 3 Av,679-1160,40.744978,-73.979083
1979-1980,yellow,Mc Donald’s Restrnt,1499 3 Av,628-8100,40.777727,-73.954377
1979-1980,yellow,McDonald’s Restrnt,543 6 Av,924-8249,40.737916,-73.996851
1979-1980,yellow,McDonald’s Restrnt,335 8 Av,243-9594,40.74771,-73.99742
1979-1980,yellow,McDonald’s Restrnt,2049 Bway,595-8198,40.777772,-73.982732
1979-1980,yellow,Mc Donalds Restrnt,2549 Bway,850-1620,40.79444,-73.97249
1979-1980,yellow,Mc Donald’s Restrnt,2549 Bway,864-9314,40.79444,-73.97249
1979-1980,yellow,Mc Donalds Restrnt,4046 Bway,795-1791,40.842801,-73.938855
1979-1980,yellow,McDonald’s Restrnt,336 E 23,674-9027,40.736964,-73.979443
1979-1980,yellow,Mc Donald’s Restraurant,444 Lenox Av,694-9843,40.812367,-73.941621
1979-1980,yellow,Mc Donald’s Restrnts,729 2 Av,686-7124,40.74826,-73.97372
1979-1980,yellow,Mc Donald’s Restrnt,341 5 Av,686-5342,40.747959,-73.984506
1979-1980,yellow,McDonalds 40 Street,556 7 Av,730-9237,40.75473,-73.988316
1980-1981,white,McDonald’s,3549 Bway,283-9584,40.826848,-73.950671
1980-1981,white,McDonald’s,4036 Bway,923-9582,40.84194,-73.938811
1980-1981,white,McDonald’s,4259 Bway,923-9506,40.850096,-73.93624
1980-1981,white,McDonalds,444 Lenox Av,862-8480,40.812367,-73.941621
1980-1981,white,McDonald’s,39 Union Sq W,675-3780,40.737061,-73.990742
1980-1981,white,McDonald’s,102 1 Av,475-6424,40.726453,-73.985845
1980-1981,white,McDonald’s,972 6 Av,244-8555,40.750789,-73.986731
1980-1981,white,McDonald’s,972 6 Av,244-8625,40.750789,-73.986731
1980-1981,white,McDonald’s,215 W 125,865-6323,40.809708,-73.948933
1980-1981,white,McDonalds 40 Street,556 7 Av,730-9237,40.75473,-73.988316
1980-1981,white,McDonalds Hamburgers,1327 2 Av,861-8095,40.767359,-73.959756
1980-1981,white,McDonald’s Of Greenwich Village,136 W 3,67?-2566,40.730737,-74.001112
1980-1981,white,McDonald’s Restrnt,317 Bway,349-7165,40.715828,-74.005338
1980-1981,white,McDonald’s Restrnt,2049 Bway,595-8198,40.777772,-73.982732
1980-1981,white,McDonalds Restrnt,2549 Bway,864-8138,40.79444,-73.97249
1980-1981,white,Mc Donald’s Restrnt,2549 Bway,864-9314,40.79444,-73.97249
1980-1981,white,McDonalds Restrnt,4046 Bway,795-1791,40.842801,-73.938855
1980-1981,white,McDonald’s Restrnt,40 Fulton,349-1015,40.707884,-74.004738
1980-1981,white,McDonalds Restrnt,444 Lenox Av,694-9843,40.812367,-73.941621
1980-1981,white,McDonald’s Restrnt,113 Nassau,233-0440,40.710894,-74.007377
1980-1981,white,McDonald’s Restrnt,102 1 Av,475-9538,40.726453,-73.985845
