1979-1980,yellow,McDonald Restaurant,262 Canal,431-4165
1979-1980,yellow,Mc Donalds,3549 Bway,281-1800
1979-1980,yellow,Mc Donald’s,102 1 Av,475-6424
1979-1980,yellow,McDonald’s,427 10 Av,244-8206
1979-1980,yellow,McDonalds,3549 Bway,283-9584
1979-1980,yellow,McDonald’s,4259 Bway,923-9506
1979-1980,yellow,McDonald’s,444 Lenox Av,281-2888
1979-1980,yellow,McDonald’s,39 Union Sq W,675-3780
1979-1980,yellow,Mc Donald’s,215 W 125,865-6323
1979-1980,yellow,McDonalds Hamburgers,1327 2 Av,535-2205
1979-1980,yellow,Mc Donald’s Hamburgers,1327 2 Av,650-1401
1979-1980,yellow,Mcdonalds Hamburgers,1327 2 Av,861-8095
1979-1980,yellow,McDonald’s of Greenwich Village,126 W 3,674-3566
1979-1980,yellow,Mcdonald’s Restrnt,102 1 Av,475-9538
1979-1980,yellow,McDonald’s Restrnt,427 10 Av,564-7115
1979-1980,yellow,McDonald’s Restrnt,480 3 Av,679-1160
1979-1980,yellow,Mc Donald’s Restrnt,1499 3 Av,628-8100
1979-1980,yellow,McDonald’s Restrnt,543 6 Av,924-8249
1979-1980,yellow,McDonald’s Restrnt,335 8 Av,243-9594
1979-1980,yellow,McDonald’s Restrnt,2049 Bway,595-8198
1979-1980,yellow,Mc Donalds Restrnt,2549 Bway,850-1620
1979-1980,yellow,Mc Donald’s Restrnt,2549 Bway,864-9314
1979-1980,yellow,Mc Donalds Restrnt,4046 Bway,795-1791
1979-1980,yellow,McDonald’s Restrnt,336 E 23,674-9027
1979-1980,yellow,Mc Donald’s Restraurant,444 Lenox Av,694-9843
1979-1980,yellow,Mc Donald’s Restrnts,729 2 Av,686-7124
1979-1980,yellow,Mc Donald’s Restrnt,341 5 Av,686-5342
1979-1980,yellow,McDonalds 40 Street,556 7 Av,730-9237
1980-1981,white,McDonald’s,3549 Bway,283-9584
1980-1981,white,McDonald’s,4036 Bway,923-9582
1980-1981,white,McDonald’s,4259 Bway,923-9506
1980-1981,white,McDonalds,444 Lenox Av,862-8480
1980-1981,white,McDonald’s,39 Union Sq W,675-3780
1980-1981,white,McDonald’s,102 1 Av,475-6424
1980-1981,white,McDonald’s,972 6 Av,244-8555
1980-1981,white,McDonald’s,972 6 Av,244-8625
1980-1981,white,McDonald’s,215 W 125,865-6323
1980-1981,white,McDonalds 40 Street,556 7 Av,730-9237
1980-1981,white,McDonalds Hamburgers,1327 2 Av,861-8095
1980-1981,white,McDonald’s Of Greenwich Village,136 W 3,67?-2566
1980-1981,white,McDonald’s Restrnt,317 Bway,349-7165
