year, phonebook, name, address, phone_number, lat, lon
1979-1980,yellow,McDonald Restaurant,262 Canal,431-4165,40.71852,-74.00115
1979-1980,yellow,Mc Donalds,3549 Bway,281-1800,40.82687,-73.95074
1979-1980,yellow,Mc Donald’s,102 1 Av,475-6424,40.72643,-73.98581
1979-1980,yellow,McDonald’s,427 10 Av,244-8206,40.75454,-74.0001
1979-1980,yellow,McDonalds,3549 Bway,283-9584,40.82687,-73.95074
1979-1980,yellow,McDonald’s,4259 Bway,923-9506,40.85009,-73.93625
1979-1980,yellow,McDonald’s,444 Lenox Av,281-2888,40.81239,-73.94161
1979-1980,yellow,McDonald’s,39 Union Sq W,675-3780,40.73708,-73.99081
1979-1980,yellow,Mc Donald’s,215 W 125,865-6323,40.80969,-73.94894
1979-1980,yellow,McDonalds Hamburgers,1327 2 Av,535-2205,40.76733,-73.95992
1979-1980,yellow,Mc Donald’s Hamburgers,1327 2 Av,650-1401,40.76733,-73.95992
1979-1980,yellow,Mcdonalds Hamburgers,1327 2 Av,861-8095,40.76733,-73.95992
1979-1980,yellow,McDonald’s of Greenwich Village,126 W 3,674-3566,40.73045,-74.00075
1979-1980,yellow,Mcdonald’s Restrnt,102 1 Av,475-9538,40.72643,-73.98581
1979-1980,yellow,McDonald’s Restrnt,427 10 Av,564-7115,40.75454,-74.0001
1979-1980,yellow,McDonald’s Restrnt,480 3 Av,679-1160,40.74497,-73.97908
1979-1980,yellow,Mc Donald’s Restrnt,1499 3 Av,628-8100,40.77772,-73.95438
1979-1980,yellow,McDonald’s Restrnt,543 6 Av,924-8249,40.73791,-73.99685
1979-1980,yellow,McDonald’s Restrnt,335 8 Av,243-9594,40.74771,-73.99742
1979-1980,yellow,McDonald’s Restrnt,2049 Bway,595-8198,40.7778,-73.98279
1979-1980,yellow,Mc Donalds Restrnt,2549 Bway,850-1620,40.79442,-73.97246
1979-1980,yellow,Mc Donald’s Restrnt,2549 Bway,864-9314,40.79442,-73.97246
1979-1980,yellow,Mc Donalds Restrnt,4046 Bway,795-1791,40.84276,-73.9389
1979-1980,yellow,McDonald’s Restrnt,336 E 23,674-9027,40.73696,-73.97945
1979-1980,yellow,Mc Donald’s Restraurant,444 Lenox Av,694-9843,40.81239,-73.94161
1979-1980,yellow,Mc Donald’s Restrnts,729 2 Av,686-7124,40.74826,-73.97372
1979-1980,yellow,Mc Donald’s Restrnt,341 5 Av,686-5342,40.74796,-73.98452
1979-1980,yellow,McDonalds 40 Street,556 7 Av,730-9237,40.75473,-73.98832
1980-1981,white,McDonald’s,3549 Bway,283-9584,40.82687,-73.95074
1980-1981,white,McDonald’s,4036 Bway,923-9582,40.84182,-73.9388
1980-1981,white,McDonald’s,4259 Bway,923-9506,40.85009,-73.93625
1980-1981,white,McDonalds,444 Lenox Av,862-8480,40.81239,-73.94161
1980-1981,white,McDonald’s,39 Union Sq W,675-3780,40.73708,-73.99081
1980-1981,white,McDonald’s,102 1 Av,475-6424,40.72643,-73.98581
1980-1981,white,McDonald’s,972 6 Av,244-8555,40.75079,-73.98673
1980-1981,white,McDonald’s,972 6 Av,244-8625,40.75079,-73.98673
1980-1981,white,McDonald’s,215 W 125,865-6323,40.80969,-73.94894
1980-1981,white,McDonalds 40 Street,556 7 Av,730-9237,40.75473,-73.98832
1980-1981,white,McDonalds Hamburgers,1327 2 Av,861-8095,40.76733,-73.95992
1980-1981,white,McDonald’s Of Greenwich Village,136 W 3,67?-2566,40.73076,-74.00111
1980-1981,white,McDonald’s Restrnt,317 Bway,349-7165,40.71581,-74.00532
1980-1981,white,McDonald’s Restrnt,2049 Bway,595-8198,40.7778,-73.98279
1980-1981,white,McDonalds Restrnt,2549 Bway,864-8138,40.79442,-73.97246
1980-1981,white,Mc Donald’s Restrnt,2549 Bway,864-9314,40.79442,-73.97246
1980-1981,white,McDonalds Restrnt,4046 Bway,795-1791,40.84276,-73.9389
1980-1981,white,McDonald’s Restrnt,40 Fulton,349-1015,40.70788,-74.00475
1980-1981,white,McDonalds Restrnt,444 Lenox Av,694-9843,40.81239,-73.94161
1980-1981,white,McDonald’s Restrnt,113 Nassau,233-0440,40.71088,-74.00737
1980-1981,white,McDonald’s Restrnt,102 1 Av,475-9538,40.72643,-73.98581
1980-1981,white,McDonald’s Restrnt,480 3 Av,679-1160,40.74497,-73.97908
1980-1981,white,Mc Donald’s Restrnt,1499 3 Av,628-8100,40.77772,-73.95438
1980-1981,white,McDonald’s Restraurant,341 5 Av,725-9088,40.74796,-73.98452
1980-1981,white,McDonald’s Restr,543 6 Av,924-8249,40.73791,-73.99685
1980-1981,white,McDonald’s Restrnt,809 6 Av,243-9465,40.74604,-73.99092
1980-1981,white,McDonalds Restaurant,439 7 Av,736-0935,40.66325,-73.98425
1980-1981,white,McDonald’s Restrnt,335 8 Av,243-9594,40.74771,-73.99742
1980-1981,white,McDonald’s Restrnt,946 8 Av,586-6670,40.76582,-73.98314
1980-1981,white,McDonald’s Restrnt,427 10 Av,564-7115,40.75454,-74.0001
1980-1981,white,McDonald’s Restrnt,336 E43,674-9027,
1980-1981,white,McDonald’s Restrnt,22 E 42,599-2127,40.75265,-73.98003
1980-1981,white,McDonald’s Restrnts,729 2 Av,686-7124,40.74826,-73.97372
1980-1981,white,McDonald’s Restrt,341 5 Av,686-5342,40.74796,-73.98452
1980-1981,white,McDonal’s,427 10 Av,244-8206,40.75454,-74.0001
1980-1981,yellow,McDonald’s,3549 Bway,283-9584,40.82687,-73.95074
1980-1981,yellow,McDonald’s,4259 Bway,923-9506,40.85009,-73.93625
1980-1981,yellow,McDonald’s,444 Lenox Av,281-2888,40.81239,-73.94161
1980-1981,yellow,McDonald’s,39 Union Sq W,675-3780,40.73708,-73.99081
1980-1981,yellow,Mc Donald’s ,102 1 Av,475-6424,40.72643,-73.98581
1980-1981,yellow,McDonald’s,427 10 Av,244-8206,40.75454,-74.0001
1980-1981,yellow,Mc Donald’s ,215 W 125,865-6323,40.80969,-73.94894
1980-1981,yellow,Mc Donald’s Hamburgers,1327 2 Av,650-1401,40.76733,-73.95992
1980-1981,yellow,Mcdonalds Hamburgers,1327 2 Av,861-8095,40.76733,-73.95992
1980-1981,yellow,McDonald’s Of Greenwich Village,136 W 3,674-2566,40.73076,-74.00111
1980-1981,yellow,McDonald’s Restrnt,427 10 Av,244-8206,40.75454,-74.0001
1980-1981,yellow,McDonald’s Restrnt,317 Bway,349-7165,40.71581,-74.00532
1980-1981,yellow,McDonald’s Restrnt,2049 Bway,595-8198,40.7778,-73.98279
1980-1981,yellow,Mc Donalds Restrnt,2549 Bway,864-8138,40.79442,-73.97246
1980-1981,yellow,Mc Donald’s Restrnt,2549 Bway,864-9314,40.79442,-73.97246
1980-1981,yellow,Mc Donald’s Restrnt,4046 Bway,795-1791,40.84276,-73.9389
1980-1981,yellow,Mc Donalds Restrnt,40 Fulton,349-1015,40.70788,-74.00475
1980-1981,yellow,McDonalds Restrnt,444 Lenox Av,694-9843,40.81239,-73.94161
